Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross,Worldwide LT Gross,Metascore,Votes,Logline
How to Train Your Dragon,2010,"Animation,Action,Adventure",8.1,98,$217.58M,"$494,879,471",75,"735,267","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Twister,1996,"Action,Adventure,Thriller",6.4,113,$241.72M,"$494,580,615",68,"196,834","Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
Oz the Great and Powerful,2013,"Adventure,Family,Fantasy",6.3,130,$234.91M,"$493,311,825",44,"208,389",A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.
Clash of the Titans,2010,"Action,Adventure,Fantasy",5.8,106,$163.21M,"$493,214,993",39,"282,939","Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth."
Maleficent: Mistress of Evil,2019,"Adventure,Family,Fantasy",6.6,119,$113.93M,"$491,730,089",43,"105,066","Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play."
War for the Planet of the Apes,2017,"Action,Adventure,Drama",7.4,140,$146.88M,"$490,719,763",82,"256,597","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
Shrek,2001,"Animation,Adventure,Comedy",7.9,90,$267.67M,"$488,351,320",84,"672,459","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
Mr. & Mrs. Smith,2005,"Action,Comedy,Crime",6.5,120,$186.34M,"$487,287,646",55,"494,933",A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.
Angels & Demons,2009,"Action,Mystery,Thriller",6.7,138,$133.38M,"$485,930,816",48,"293,394",Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
Teenage Mutant Ninja Turtles,2014,"Action,Adventure,Comedy",5.8,101,$191.20M,"$485,004,754",31,"211,216","When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
Bruce Almighty,2003,"Comedy,Fantasy",6.8,101,$242.83M,"$484,592,874",46,"403,001",A whiny news reporter is given the chance to step into God's shoes.
Rio,2011,"Animation,Adventure,Comedy",6.9,96,$143.62M,"$483,866,518",63,"227,834","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
Saving Private Ryan,1998,"Drama,War",8.6,169,$216.54M,"$482,349,603",91,"1,377,916","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Rise of the Planet of the Apes,2011,"Action,Drama,Sci-Fi",7.6,105,$176.76M,"$481,800,873",68,"527,898",A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
Home Alone,1990,"Comedy,Family",7.7,103,$285.76M,"$476,684,675",63,"563,004",An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
Hotel Transylvania 2,2015,"Animation,Adventure,Comedy",6.6,89,$169.70M,"$475,186,706",44,"127,713","Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel."
Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy",8.3,131,$309.13M,"$475,106,177",58,"1,045,754","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Charlie and the Chocolate Factory,2005,"Adventure,Comedy,Family",6.7,115,$206.46M,"$474,968,763",72,"478,381","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
Indiana Jones and the Last Crusade,1989,"Action,Adventure",8.2,127,$197.17M,"$474,171,806",65,"750,474","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
Jaws,1975,"Adventure,Thriller",8.1,124,$260.00M,"$474,141,300",87,"602,420","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
San Andreas,2015,"Action,Adventure,Thriller",6.1,114,$155.19M,"$474,009,154",43,"237,412","In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
It Chapter Two,2019,"Drama,Fantasy,Horror",6.5,169,$211.59M,"$473,122,525",58,"262,024","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
Wreck-It Ralph,2012,"Animation,Adventure,Comedy",7.7,101,$189.42M,"$471,222,889",72,"421,180","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Godzilla vs. Kong,2021,"Action,Sci-Fi,Thriller",6.3,113,$100.92M,"$470,067,014",59,"206,514",The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.
The Hangover,2009,Comedy,7.7,100,$277.32M,"$469,328,079",73,"781,265","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
The Lego Movie,2014,"Animation,Action,Adventure",7.7,100,$257.76M,"$468,266,122",83,"354,346","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
Bumblebee,2018,"Action,Adventure,Sci-Fi",6.7,114,$127.20M,"$467,989,645",66,"164,926","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken."
Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi",7.7,132,$228.78M,"$467,365,246",72,"483,380","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
The Matrix,1999,"Action,Sci-Fi",8.7,136,$171.48M,"$467,222,728",73,"1,895,339","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Gladiator,2000,"Action,Adventure,Drama",8.5,155,$187.71M,"$465,380,802",67,"1,485,912",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Pretty Woman,1990,"Comedy,Romance",7.1,119,$178.41M,"$463,406,268",51,"324,063","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
Cars,2006,"Animation,Adventure,Comedy",7.2,117,$244.08M,"$461,991,867",73,"419,343","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life."
Ba bai,2020,"Action,Drama,History",6.7,149,$0.37M,"$461,421,559",64,"5,832","From the acclaimed filmmaker behind Mr. Six comes a riveting war epic. In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army."
X-Men: The Last Stand,2006,"Action,Adventure,Sci-Fi",6.6,104,$234.36M,"$460,435,291",58,"516,297","The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
National Treasure: Book of Secrets,2007,"Action,Adventure,Mystery",6.5,124,$219.96M,"$459,242,249",48,"237,913",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.
Lucy,2014,"Action,Sci-Fi,Thriller",6.4,89,$126.66M,"$458,863,600",61,"494,639","A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
Mission: Impossible,1996,"Action,Adventure,Thriller",7.1,110,$180.98M,"$457,696,391",59,"425,965","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
300,2006,"Action,Drama",7.6,117,$210.61M,"$456,082,343",52,"816,922",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
The Last Samurai,2003,"Action,Drama",7.8,154,$111.11M,"$454,627,263",55,"440,027",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,"Animation,Action,Adventure",8.2,117,$47.70M,"$453,210,959",72,"56,907","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Wo bu shi yao shen,2018,"Comedy,Drama",7.8,117,$0.01M,"$451,183,391",63,"6,479",A story on how a small drug store owner became the exclusive selling agent of a cheap Indian generic drug against Chronic Granulocytic Leukemia in China.
Ocean's Eleven,2001,"Crime,Thriller",7.7,116,$183.42M,"$450,717,150",74,"571,258",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
Wo he wo de zu guo,2019,"Drama,History",6.3,154,$2.36M,"$450,064,993",******,"1,892","An anthology film consist of 7 short stories directed by several different directors, which are based on 7 moments since the founding of People's Republic of China."
Thor,2011,"Action,Adventure,Fantasy",7.0,115,$181.03M,"$449,326,618",57,"844,378","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
Pearl Harbor,2001,"Action,Drama,History",6.2,183,$198.54M,"$449,220,945",44,"332,611",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
La La Land,2016,"Comedy,Drama,Music",8.0,128,$151.10M,"$448,906,865",94,"581,482","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Tarzan,1999,"Animation,Adventure,Comedy",7.3,88,$171.09M,"$448,191,819",79,"226,365",A man raised by gorillas must decide where he really belongs when he discovers he is a human.
Men in Black II,2002,"Action,Adventure,Comedy",6.1,88,$190.42M,"$445,135,288",49,"374,914",Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.
The Bourne Ultimatum,2007,"Action,Mystery,Thriller",8.0,115,$227.47M,"$444,100,035",85,"633,900",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
The Mummy Returns,2001,"Action,Adventure,Fantasy",6.4,130,$202.02M,"$443,280,904",48,"325,179","The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror."
Alvin and the Chipmunks: The Squeakquel,2009,"Animation,Adventure,Comedy",4.5,88,$219.61M,"$443,140,005",41,"49,552","The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes."
Les Misérables,2012,"Drama,Musical,Romance",7.5,158,$148.81M,"$442,299,309",63,"329,707","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
The Exorcist,1973,Horror,8.1,122,$232.91M,"$441,306,145",81,"403,949","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
Mrs. Doubtfire,1993,"Comedy,Drama",7.1,125,$219.20M,"$441,286,195",53,"268,073","After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
Terminator Genisys,2015,"Action,Adventure,Sci-Fi",6.3,126,$89.76M,"$440,603,537",38,"278,084","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."
Warcraft,2016,"Action,Adventure,Fantasy",6.7,123,$47.37M,"$439,048,914",32,"263,969","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
A Star Is Born,2018,"Drama,Music,Romance",7.6,136,$215.29M,"$436,233,122",88,"381,604",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
The Greatest Showman,2017,"Biography,Drama,Musical",7.5,105,$174.34M,"$435,732,529",48,"280,057",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
Terminator 3: Rise of the Machines,2003,"Action,Sci-Fi",6.3,109,$150.37M,"$433,371,112",66,"399,649",A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.
Pokémon: Detective Pikachu,2019,"Action,Adventure,Comedy",6.5,104,$144.11M,"$433,230,304",53,"162,859","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective."
Shang-Chi and the Legend of the Ten Rings,2021,"Action,Adventure,Fantasy",7.4,132,$224.54M,"$432,243,292",71,"374,342","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization."
Die Another Day,2002,"Action,Adventure,Thriller",6.1,133,$160.94M,"$431,971,116",56,"219,747","James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon."
The Secret Life of Pets 2,2019,"Animation,Adventure,Comedy",6.4,86,$158.87M,"$430,051,293",55,"62,383","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day."
Cast Away,2000,"Adventure,Drama,Romance",7.8,143,$233.63M,"$429,632,142",73,"588,627",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
Rampage,2018,"Action,Adventure,Sci-Fi",6.1,107,$101.03M,"$428,028,233",45,"167,913","When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago."
The King's Speech,2010,"Biography,Drama,History",8.0,118,$138.80M,"$427,374,317",88,"679,043","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
The Matrix Revolutions,2003,"Action,Sci-Fi",6.7,129,$139.31M,"$427,344,325",47,"511,943",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
The Intouchables,2011,"Biography,Comedy,Drama",8.5,112,$13.18M,"$426,588,510",57,"849,817","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Bad Boys for Life,2020,"Action,Comedy,Crime",6.5,124,$206.31M,"$426,505,244",59,"160,067",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.
Django Unchained,2012,"Drama,Western",8.4,165,$162.81M,"$426,074,373",81,"1,534,855","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
Beauty and the Beast,1991,"Animation,Family,Fantasy",8.0,84,$218.97M,"$424,967,620",95,"453,187",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
Dances with Wolves,1990,"Adventure,Drama,Western",8.0,181,$184.21M,"$424,208,848",72,"265,130","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
Wo he wo de jia xiang,2020,Drama,6.5,153,******,"$422,390,820",******,843,"In different parts of rural China, various people explore what makes their communities unique."
The Chronicles of Narnia: Prince Caspian,2008,"Action,Adventure,Family",6.5,150,$141.62M,"$419,665,568",62,"210,925","The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian."
Sex and the City,2008,"Comedy,Drama,Romance",5.7,145,$152.65M,"$418,765,519",53,"122,626",A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.
Zhong guo ji zhang,2019,"Action,Adventure,Drama",6.2,111,$0.71M,"$417,282,021",******,"2,150","When the windshield of his commercial airplane shatters at 30,000 feet in the air, a pilot and his flight crew work to ensure the safety of the passengers and land the plane."
The Mummy,1999,"Action,Adventure,Fantasy",7.1,124,$155.25M,"$415,933,406",48,"428,601","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love."
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure,Family,Fantasy",6.3,113,$104.39M,"$415,686,217",53,"154,816","Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world."
Jason Bourne,2016,"Action,Thriller",6.6,123,$162.43M,"$415,484,914",58,"227,583",The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
The Wolverine,2013,"Action,Sci-Fi",6.7,126,$132.56M,"$414,828,246",61,"465,995","Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants."
Kingsman: The Secret Service,2014,"Action,Adventure,Comedy",7.7,129,$128.26M,"$414,351,546",60,"664,004","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
Night at the Museum: Battle of the Smithsonian,2009,"Adventure,Comedy,Family",6.0,105,$177.24M,"$413,106,170",42,"196,802","Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake."
Batman,1989,"Action,Adventure",7.5,126,$251.19M,"$411,569,241",69,"376,730","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker."
The Bodyguard,1992,"Action,Drama,Music",6.3,129,$121.95M,"$411,046,449",39,"134,840","A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
Pacific Rim,2013,"Action,Adventure,Sci-Fi",6.9,131,$101.80M,"$411,002,906",65,"500,987","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
Kingsman: The Golden Circle,2017,"Action,Adventure,Comedy",6.7,141,$100.23M,"$410,902,662",44,"326,293","After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."
The Mummy,2017,"Action,Adventure,Fantasy",5.4,111,$80.10M,"$409,231,607",34,"190,176","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
Sing 2,2021,"Animation,Adventure,Comedy",7.4,110,$162.79M,"$408,837,044",49,"66,528",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
Ice Age: Collision Course,2016,"Animation,Adventure,Comedy",5.6,94,$64.06M,"$408,754,975",34,"67,153","When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend."
Twilight,2008,"Drama,Fantasy,Romance",5.3,122,$191.47M,"$408,430,415",56,"460,735","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
Signs,2002,"Drama,Mystery,Sci-Fi",6.8,106,$227.97M,"$408,247,917",59,"363,169","A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come."
X2,2003,"Action,Adventure,Sci-Fi",7.4,134,$214.95M,"$407,711,549",68,"549,360","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
Fantastic Beasts: The Secrets of Dumbledore,2022,"Adventure,Family,Fantasy",6.2,142,******,"$405,161,334",47,"131,975",Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.
Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",7.3,122,$85.71M,"$404,980,543",53,"266,360","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is."
The Mummy: Tomb of the Dragon Emperor,2008,"Action,Adventure,Fantasy",5.2,112,$102.49M,"$403,449,830",31,"161,456","In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago."
Prometheus,2012,"Adventure,Mystery,Sci-Fi",7.0,124,$126.48M,"$403,354,469",64,"608,177","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Gone with the Wind,1939,"Drama,Romance,War",8.2,238,$198.68M,"$402,382,193",97,"314,964",The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
Mamma Mia! Here We Go Again,2018,"Comedy,Musical,Romance",6.6,114,$120.63M,"$402,263,497",60,"95,422","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
Eternals,2021,"Action,Adventure,Fantasy",6.3,156,$164.87M,"$402,064,899",52,"335,050","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
Sonic the Hedgehog 2,2022,"Action,Adventure,Comedy",6.5,122,******,"$401,872,904",47,"62,156","When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way."
Dune: Part One,2021,"Action,Adventure,Drama",8.0,155,$108.33M,"$401,847,900",74,"618,157",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Uncharted,2022,"Action,Adventure",6.3,116,******,"$401,748,820",45,"191,170","Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada."
Tron,2010,"Action,Adventure,Sci-Fi",6.8,125,$172.06M,"$400,063,852",49,"337,056",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
Mission: Impossible III,2006,"Action,Adventure,Thriller",6.9,126,$134.03M,"$398,479,497",66,"356,861",IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.
Snow White and the Huntsman,2012,"Action,Adventure,Drama",6.1,127,$155.33M,"$396,592,829",57,"290,046","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
Grease,1978,"Comedy,Musical,Romance",7.2,110,$188.76M,"$396,271,103",70,"276,124","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
Toy Story,1995,"Animation,Adventure,Comedy",8.3,81,$191.80M,"$394,436,586",95,"985,902",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
Solo: A Star Wars Story,2018,"Action,Adventure,Sci-Fi",6.9,135,$213.77M,"$392,924,807",62,"344,300","Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes."
The Wolf of Wall Street,2013,"Biography,Comedy,Crime",8.2,180,$116.90M,"$392,000,694",75,"1,387,132","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Superman Returns,2006,"Action,Adventure,Sci-Fi",6.1,154,$200.08M,"$391,081,192",72,"283,488","Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world."
Robin Hood: Prince of Thieves,1991,"Action,Adventure,Drama",6.9,143,$165.50M,"$390,493,908",51,"194,169",Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.
Raiders of the Lost Ark,1981,"Action,Adventure",8.4,115,$248.16M,"$389,925,971",85,"959,488","Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis."
Independence Day: Resurgence,2016,"Action,Adventure,Sci-Fi",5.2,120,$103.14M,"$389,681,935",32,"179,948","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
Live Free or Die Hard,2007,"Action,Thriller",7.1,128,$134.53M,"$388,156,011",69,"406,071",John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.
Zhuo yao ji,2015,"Adventure,Comedy,Fantasy",6.1,117,$0.02M,"$387,053,506",53,"5,315","Human and monsters have lived in their separate worlds, but after the birth of Wuba, the last of the monster kings, begins the adventure to bring the two races together."
Godzilla: King of the Monsters,2019,"Action,Adventure,Fantasy",6.0,132,$110.50M,"$386,600,138",48,"182,174","The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah."
Home,2015,"Animation,Adventure,Comedy",6.6,94,$177.40M,"$386,041,607",55,"103,018","An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference."
Star Trek,2009,"Action,Adventure,Sci-Fi",7.9,127,$257.73M,"$385,680,446",82,"603,062",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
1917,2019,"Action,Drama,War",8.2,119,$159.23M,"$384,919,389",78,"577,650","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Happy Feet,2006,"Animation,Adventure,Comedy",6.4,108,$198.00M,"$384,336,108",77,"186,413","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
Cars 3,2017,"Animation,Adventure,Comedy",6.7,102,$152.90M,"$383,930,656",59,"100,026",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
Back to the Future,1985,"Adventure,Comedy,Sci-Fi",8.5,116,$210.61M,"$383,336,762",87,"1,190,884","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Ice Age,2002,"Animation,Adventure,Comedy",7.5,81,$176.39M,"$383,257,136",61,"481,438","The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
Fifty Shades Darker,2017,"Drama,Romance,Thriller",4.5,118,$114.38M,"$381,545,846",33,"103,004","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
Monsters vs. Aliens,2009,"Animation,Action,Adventure",6.4,94,$198.35M,"$381,509,870",56,"162,665",A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
Black Widow,2021,"Action,Adventure,Sci-Fi",6.7,134,$183.65M,"$379,751,655",67,"371,644",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.
Godzilla,1998,"Action,Sci-Fi,Thriller",5.4,139,$136.31M,"$379,014,294",32,"194,147",French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.
True Lies,1994,"Action,Comedy,Thriller",7.3,141,$146.28M,"$378,882,411",63,"258,633","A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
Slumdog Millionaire,2008,"Crime,Drama,Romance",8.0,120,$141.32M,"$378,410,542",84,"842,587","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
